ngrams,total_words
anarchists,1
wide,1
for,1
hoodlums,1
whole,1
if,1
in,1
what,1
killers,1
watch,1
kindest,1
looters,1
very,1
fake,1
most,1
msdnc,1
news,1
think,1
nicest,1
no,1
they,1
or,1
others,1
our,1
people,1
the,1
terrorists,1
thugs,1
country,1
that,1
antifa,1
arsonists,1
world,1
be,1
bad,1
are,1
wonderful,1
you,1
would,1
cnn,1
our country,2
would be,2
are what,2
msdnc you,2
people in,2
most wonderful,2
think that,2
thugs hoodlums,2
news cnn,2
are very,2
nicest kindest,2
the nicest,2
they are,2
no they,2
others would,2
you watch,2
or msdnc,2
would think,2
looters antifa,2
very bad,2
the whole,2
cnn or,2
fake news,2
wide world,2
wonderful people,2
for our,2
terrorists arsonists,2
be the,2
hoodlums looters,2
whole wide,2
arsonists anarchists,2
anarchists thugs,2
if you,2
world no,2
in the,2
bad for,2
that the,2
killers terrorists,2
watch fake,2
you would,2
kindest most,2
the killers,2
what they,2
antifa others,2
the killers terrorists,3
you watch fake,3
that the killers,3
wide world no,3
the whole wide,3
they are very,3
they are what,3
would think that,3
think that the,3
would be the,3
thugs hoodlums looters,3
very bad for,3
world no they,3
what they are,3
whole wide world,3
wonderful people in,3
the nicest kindest,3
watch fake news,3
or msdnc you,3
terrorists arsonists anarchists,3
if you watch,3
fake news cnn,3
in the whole,3
killers terrorists arsonists,3
cnn or msdnc,3
kindest most wonderful,3
be the nicest,3
looters antifa others,3
most wonderful people,3
bad for our,3
hoodlums looters antifa,3
news cnn or,3
arsonists anarchists thugs,3
are what they,3
msdnc you would,3
others would be,3
anarchists thugs hoodlums,3
people in the,3
antifa others would,3
nicest kindest most,3
you would think,3
for our country,3
no they are,3
are very bad,3
arsonists anarchists thugs hoodlums,4
whole wide world no,4
fake news cnn or,4
would be the nicest,4
you watch fake news,4
cnn or msdnc you,4
wide world no they,4
anarchists thugs hoodlums looters,4
be the nicest kindest,4
are very bad for,4
antifa others would be,4
would think that the,4
wonderful people in the,4
bad for our country,4
world no they are,4
are what they are,4
watch fake news cnn,4
what they are very,4
that the killers terrorists,4
people in the whole,4
others would be the,4
the killers terrorists arsonists,4
or msdnc you would,4
the nicest kindest most,4
no they are what,4
the whole wide world,4
nicest kindest most wonderful,4
they are very bad,4
news cnn or msdnc,4
they are what they,4
msdnc you would think,4
think that the killers,4
most wonderful people in,4
looters antifa others would,4
thugs hoodlums looters antifa,4
kindest most wonderful people,4
very bad for our,4
killers terrorists arsonists anarchists,4
in the whole wide,4
terrorists arsonists anarchists thugs,4
if you watch fake,4
hoodlums looters antifa others,4
you would think that,4
